Raw,Filtered
0.246367,0.123183
-0.245843,-0.122922
-0.155932,-0.077966
0.473801,0.236901
0.125881,0.062940
-0.670470,-0.335235
-0.951569,-0.475785
-0.390386,-0.195193
-0.976232,-0.488116
0.192098,0.096049
0.991304,0.495652
0.332307,0.166153
-0.414738,-0.207369
-0.256310,-0.128155
0.070748,0.035374
0.285568,0.142784
-0.720261,-0.360131
-0.708745,-0.354372
-0.241697,-0.120849
0.823573,0.411787
0.791712,0.395856
-0.725627,-0.362814
0.349063,0.174531
0.903461,0.451731
0.641607,0.320804
-0.040865,-0.020432
0.498291,0.249145
-0.278257,-0.139128
0.533720,0.266860
-0.386947,-0.193474
0.925972,0.462986
-0.219913,-0.109956
0.367210,0.183605
-0.229961,-0.114980
-0.746112,-0.373056
-0.506910,-0.253455
0.099569,0.049785
-0.697681,-0.348840
0.102705,0.051352
0.123337,0.061668
0.494417,0.247208
0.094008,0.047004
-0.544357,-0.272178
-0.920321,-0.460160
0.837698,0.418849
0.526392,0.263196
0.365248,0.182624
-0.882563,-0.441281
0.817647,0.408823
-0.876449,-0.438225
0.941010,0.470505
0.609359,0.304680
-0.602076,-0.301038
0.290073,0.145036
0.512820,0.256410
-0.960469,-0.480234
-0.750792,-0.375396
0.011111,0.005555
-0.238726,-0.119363
0.782929,0.391464
0.624164,0.312082
-0.312754,-0.156377
-0.436984,-0.218492
-0.008627,-0.004313
0.457285,0.228643
-0.183096,-0.091548
0.484464,0.242232
-0.443146,-0.221573
0.119223,0.059612
-0.412832,-0.206416
0.680191,0.340096
-0.386360,-0.193180
0.681177,0.340588
-0.864166,-0.432083
-0.306680,-0.153340
0.518875,0.259437
0.662226,0.331113
-0.941432,-0.470716
0.636312,0.318156
0.479873,0.239936
-0.817882,-0.408941
0.577322,0.288661
0.089232,0.044616
-0.419958,-0.209979
-0.132605,-0.066303
-0.397948,-0.198974
-0.380427,-0.190213
0.116603,0.058302
0.613163,0.306581
0.380848,0.190424
-0.100468,-0.050234
0.237326,0.118663
-0.931906,-0.465953
0.462548,0.231274
-0.771301,-0.385650
0.525379,0.262689
-0.720548,-0.360274
0.713163,0.356581
-0.917767,-0.458884
0.398675,0.199338
-0.699669,-0.349835
0.762424,0.381212
-0.987685,-0.493842
0.981507,0.490754
0.898259,0.449129
-0.294365,-0.147182
0.500382,0.250191
0.560484,0.280242
-0.235797,-0.117899
0.136694,0.068347
0.040357,0.020179
-0.053679,-0.026839
-0.285984,-0.142992
-0.870411,-0.435206
0.526363,0.263182
0.581411,0.290706
-0.268359,-0.134180
-0.854064,-0.427032
-0.301986,-0.150993
-0.655197,-0.327598
0.526784,0.263392
0.597546,0.298773
0.582129,0.291065
0.594877,0.297439
0.060094,0.030047
0.810829,0.405414
0.120256,0.060128
0.339546,0.169773
0.523991,0.261996
0.202489,0.101245
-0.261779,-0.130890
0.824322,0.412161
-0.035087,-0.017543
-0.249464,-0.124732
0.805830,0.402915
-0.136828,-0.068414
0.456172,0.228086
0.306212,0.153106
-0.576344,-0.288172
-0.779626,-0.389813
-0.557094,-0.278547
0.464013,0.232007
0.166695,0.083348
0.156922,0.078461
0.593602,0.296801
-0.306942,-0.153471
-0.261667,-0.130834
-0.674757,-0.337378
-0.161005,-0.080503
0.436347,0.218174
-0.329953,-0.164977
-0.634221,-0.317111
0.033893,0.016947
-0.747824,-0.373912
0.960656,0.480328
-0.906013,-0.453006
-0.936996,-0.468498
0.080912,0.040456
0.433533,0.216766
0.586996,0.293498
-0.716598,-0.358299
-0.828246,-0.414123
0.411318,0.205659
0.248315,0.124157
-0.077710,-0.038855
0.217147,0.108574
-0.888513,-0.444257
-0.621538,-0.310769
-0.476641,-0.238321
-0.464857,-0.232429
-0.401164,-0.200582
-0.033736,-0.016868
0.999156,0.499578
0.765531,0.382766
-0.876814,-0.438407
0.592759,0.296379
-0.541410,-0.270705
-0.138481,-0.069241
0.918002,0.459001
0.297585,0.148792
-0.702134,-0.351067
-0.411951,-0.205976
0.663363,0.331682
0.331759,0.165880
-0.159775,-0.079888
0.624020,0.312010
0.425747,0.212873
-0.096771,-0.048385
-0.295068,-0.147534
-0.140721,-0.070360
-0.509775,-0.254888
-0.011666,-0.005833
0.031033,0.015517
0.901542,0.450771
-0.763351,-0.381676
0.953323,0.476662
0.118690,0.059345
-0.651865,-0.325932
-0.668215,-0.334107
0.642048,0.321024
