Raw,Filtered

-0.657283,-0.328642
-0.042265,-0.021132
0.227027,0.113514
0.189053,0.094527
-0.674749,-0.337374
0.968123,0.484061
-0.866044,-0.433022
0.908501,0.454251
0.316847,0.158423
-0.159324,-0.079662
0.371890,0.185945
0.474960,0.237480
-0.725263,-0.362632
-0.039237,-0.019619
0.261283,0.130642
0.689518,0.344759
0.894965,0.447483
0.320625,0.160313
0.912190,0.456095
-0.019113,-0.009556
0.125011,0.062505
0.001291,0.000645
-0.156463,-0.078232
0.106694,0.053347
-0.141124,-0.070562
-0.178069,-0.089034
-0.664801,-0.332401
0.945318,0.472659
-0.865786,-0.432893
-0.309139,-0.154570
-0.505955,-0.252978
-0.523069,-0.261535
0.648596,0.324298
0.721072,0.360536
0.665984,0.332992
0.973847,0.486924
0.689194,0.344597
0.799940,0.399970
0.882349,0.441174
0.006041,0.003021
-0.359384,-0.179692
0.254239,0.127119
-0.518999,-0.259499
-0.084648,-0.042324
-0.784998,-0.392499
0.742285,0.371142
-0.395130,-0.197565
-0.890033,-0.445016
0.062910,0.031455
-0.482940,-0.241470
0.090854,0.045427
-0.812079,-0.406040
0.518351,0.259176
0.934391,0.467195
0.294615,0.147308
-0.622773,-0.311386
-0.243678,-0.121839
0.629814,0.314907
-0.677454,-0.338727
-0.109464,-0.054732
-0.679325,-0.339662
-0.183410,-0.091705
0.367467,0.183734
0.969271,0.484636
-0.462338,-0.231169
0.033452,0.016726
0.943118,0.471559
-0.773144,-0.386572
-0.166608,-0.083304
0.825467,0.412734
0.232898,0.116449
0.474008,0.237004
0.079706,0.039853
0.713899,0.356949
-0.610640,-0.305320
0.294708,0.147354
0.456183,0.228092
-0.005770,-0.002885
0.404675,0.202338
-0.480907,-0.240453
0.511291,0.255645
-0.504471,-0.252235
-0.292986,-0.146493
0.029642,0.014821
-0.570080,-0.285040
-0.998371,-0.499185
0.406869,0.203435
0.186242,0.093121
0.631444,0.315722
0.729415,0.364707
-0.923221,-0.461610
0.952119,0.476059
-0.453995,-0.226997
0.444246,0.222123
0.921390,0.460695
0.083667,0.041834
-0.522302,-0.261151
0.864508,0.432254
0.310524,0.155262
0.311090,0.155545
0.689975,0.344988
-0.456579,-0.228289
-0.214903,-0.107451
-0.230319,-0.115159
-0.742680,-0.371340
0.174457,0.087229
-0.935611,-0.467806
0.713503,0.356752
-0.831313,-0.415656
0.469064,0.234532
-0.767403,-0.383702
0.679978,0.339989
0.964593,0.482297
-0.060389,-0.030194
-0.290380,-0.145190
-0.605486,-0.302743
-0.058760,-0.029380
-0.883511,-0.441755
0.580756,0.290378
-0.427316,-0.213658
0.845904,0.422952
0.657535,0.328768
-0.475198,-0.237599
-0.608091,-0.304045
0.101781,0.050891
-0.553808,-0.276904
0.475577,0.237788
0.579479,0.289740
-0.689300,-0.344650
-0.213900,-0.106950
-0.109431,-0.054716
-0.999325,-0.499662
0.329522,0.164761
0.675666,0.337833
-0.229644,-0.114822
0.586842,0.293421
-0.149877,-0.074938
-0.165255,-0.082627
0.300345,0.150173
0.018811,0.009405
-0.696191,-0.348095
0.532942,0.266471
-0.301211,-0.150606
-0.731597,-0.365799
-0.527447,-0.263723
0.408409,0.204204
-0.337084,-0.168542
0.413794,0.206897
0.524898,0.262449
-0.756327,-0.378164
0.986478,0.493239
0.370802,0.185401
0.901208,0.450604
-0.488720,-0.244360
0.762711,0.381356
0.002989,0.001495
-0.042528,-0.021264
0.238288,0.119144
-0.417532,-0.208766
0.268172,0.134086
-0.975612,-0.487806
0.473037,0.236519
0.268847,0.134424
0.353910,0.176955
0.148703,0.074352
-0.960796,-0.480398
-0.059248,-0.029624
0.998827,0.499413
-0.126051,-0.063026
-0.758903,-0.379451
0.017637,0.008819
0.177758,0.088879
0.774040,0.387020
0.716426,0.358213
0.446161,0.223081
-0.753407,-0.376703
0.124834,0.062417
-0.890922,-0.445461
0.660387,0.330193
-0.350268,-0.175134
-0.647250,-0.323625
0.646865,0.323432
-0.979466,-0.489733
-0.746042,-0.373021
-0.841856,-0.420928
0.783246,0.391623
0.256947,0.128474
0.115616,0.057808
0.021534,0.010767
0.839416,0.419708
-0.616212,-0.308106
0.045922,0.022961
0.312453,0.156227
0.652635,0.326318
-0.600168,-0.300084
-0.538844,-0.269422
0.691839,0.345919
0.340584,0.170292
-0.540017,-0.270009
-0.434212,-0.217106
